student_id,age,gender,programme,attendance_pct,assignment_avg,quiz_avg,midterm_score,study_hours_week,previous_gpa,absences,internet_access,extracurricular,academic_risk
ST02644,23,Female,Data Science,96.4,65.2,48.1,72.6,18.8,3.03,5.0,Yes,Yes,Not At Risk
ST06915,24,Male,,92.8,68.4,42.8,53.4,11.4,2.9,3.0,Yes,No,Not At Risk
ST06398,22,Female,IT,60.3,69.6,61.1,48.7,2.7,2.11,2.0,Yes,No,Not At Risk
ST08828,21,Female,Computer Science,75.9,65.8,68.8,70.9,2.9,2.78,3.0,Yes,No,At Risk
ST07279,18,Female,,82.4,50.3,50.7,57.9,6.0,2.57,4.0,Yes,Yes,Not At Risk
ST06666,23,Male,IT,89.6,49.2,65.1,39.7,2.9,3.15,3.0,Yes,No,Not At Risk
ST04997,21,Female,IT,78.8,81.2,52.3,59.1,14.4,1.62,8.0,Yes,No,Not At Risk
ST02489,25,Female,Computer Science,100.0,77.9,87.0,34.3,4.9,2.67,7.0,Yes,No,Not At Risk
ST06563,22,Male,Computer Science,87.1,31.6,81.6,53.4,2.6,1.74,8.0,Yes,Yes,At Risk
ST06992,19,Female,IT,81.2,79.7,63.0,83.8,13.3,3.22,5.0,Yes,No,Not At Risk
ST10579,25,Male,Software Engineering,88.4,64.6,57.8,59.4,4.2,2.4,5.0,Yes,No,Not At Risk
ST06152,23,Male,Computer Science,70.4,62.6,72.3,67.7,5.7,2.04,6.0,Yes,No,Not At Risk
ST05780,24,Male,IT,93.6,68.7,80.7,37.4,5.9,2.83,3.0,No,Yes,Not At Risk
ST01431,24,Male,Data Science,70.5,66.3,72.5,68.7,7.4,3.26,2.0,Yes,Yes,Not At Risk
ST10419,23,Male,IT,84.6,65.6,87.5,68.4,7.3,3.56,2.0,,Yes,Not At Risk
ST00598,24,Male,IT,74.2,79.9,60.5,77.0,5.8,3.6,0.0,Yes,Yes,Not At Risk
ST05969,19,Female,Computer Science,89.2,76.7,71.4,52.9,15.6,4.0,3.0,Yes,No,Not At Risk
ST10562,22,Male,Software Engineering,70.6,61.2,49.6,74.2,2.3,3.57,6.0,,Yes,Not At Risk
ST11966,21,Male,Data Science,64.2,51.3,49.5,84.9,6.4,2.52,5.0,Yes,Yes,At Risk
ST09824,18,Female,Data Science,75.1,81.8,66.2,72.7,2.5,2.8,6.0,Yes,No,Not At Risk
ST00621,22,Male,Software Engineering,66.9,60.0,59.9,54.0,6.1,3.12,4.0,Yes,No,Not At Risk
ST03641,25,Female,Software Engineering,91.1,73.3,66.8,75.1,7.8,2.65,3.0,Yes,No,Not At Risk
ST00554,20,Male,Software Engineering,87.4,100.0,58.7,56.1,4.5,3.45,3.0,Yes,No,Not At Risk
ST09389,21,Male,Software Engineering,77.0,96.3,59.1,80.3,2.6,2.38,4.0,Yes,No,Not At Risk
ST03880,21,Female,Software Engineering,52.9,70.9,75.2,86.0,4.8,3.2,4.0,Yes,No,Not At Risk
ST01417,24,Female,Data Science,68.1,44.4,90.3,68.9,2.6,2.08,5.0,Yes,No,At Risk
ST04591,19,Female,Computer Science,77.5,83.1,73.6,65.6,11.8,2.35,3.0,Yes,No,Not At Risk
ST03623,23,Female,IT,69.5,62.9,86.4,,12.1,2.82,3.0,Yes,No,Not At Risk
ST07236,19,Female,Computer Science,71.7,100.0,60.0,72.7,1.5,4.0,8.0,Yes,No,Not At Risk
ST05655,21,Male,Computer Science,77.7,76.2,84.8,41.2,8.2,1.76,3.0,Yes,Yes,Not At Risk
ST02988,23,Male,Data Science,70.4,55.4,58.7,52.2,5.4,2.17,8.0,Yes,No,At Risk
ST06681,25,Male,IT,85.4,83.7,49.2,69.0,6.5,3.71,2.0,Yes,Yes,Not At Risk
ST10061,24,Female,Computer Science,71.0,81.1,50.2,80.2,10.8,2.91,4.0,Yes,Yes,Not At Risk
ST00823,24,Female,Software Engineering,72.7,56.2,75.9,35.1,3.7,2.87,3.0,Yes,No,At Risk
ST03176,25,Male,Computer Science,64.7,63.2,57.0,52.0,14.8,2.61,6.0,Yes,No,Not At Risk
ST07555,23,Female,Computer Science,79.9,60.7,72.2,79.8,13.1,4.0,5.0,Yes,Yes,Not At Risk
ST05314,19,Female,Software Engineering,80.3,69.4,80.0,70.1,5.6,1.68,,Yes,Yes,Not At Risk
ST06764,18,Male,Computer Science,88.9,84.9,80.1,78.7,6.5,2.29,1.0,Yes,Yes,Not At Risk
ST03537,21,Male,Data Science,72.7,71.6,85.2,88.6,6.3,3.33,5.0,Yes,Yes,Not At Risk
ST00635,22,Female,Software Engineering,89.8,66.7,71.7,49.3,4.9,2.61,4.0,Yes,No,Not At Risk
ST06685,19,Male,Computer Science,72.8,71.8,79.7,89.2,5.8,3.27,5.0,Yes,No,Not At Risk
ST01550,24,Male,IT,86.4,57.5,40.9,60.4,9.6,3.81,7.0,Yes,No,Not At Risk
ST08186,19,Female,IT,80.3,70.0,61.8,26.8,7.1,2.24,5.0,Yes,No,Not At Risk
ST06596,19,Female,Computer Science,78.0,75.1,62.6,56.6,6.0,3.83,4.0,Yes,No,Not At Risk
ST07471,20,Female,IT,86.8,84.3,65.0,60.2,3.9,2.51,3.0,No,No,Not At Risk
ST01042,22,Female,Computer Science,79.8,64.0,64.3,54.9,6.2,3.09,3.0,Yes,No,Not At Risk
ST08908,25,Male,Computer Science,78.4,70.0,31.5,70.0,6.9,2.44,3.0,Yes,No,Not At Risk
ST10239,22,Female,Data Science,88.8,73.0,65.7,47.1,13.2,3.65,0.0,Yes,Yes,Not At Risk
ST05327,20,Male,Computer Science,81.7,46.1,82.1,16.6,8.8,3.1,5.0,Yes,Yes,At Risk
ST02343,23,Female,Computer Science,86.7,66.7,49.2,33.6,6.3,3.05,4.0,Yes,Yes,At Risk
ST00960,20,Female,Software Engineering,60.8,57.7,70.5,54.2,2.0,2.75,1.0,Yes,No,Not At Risk
ST07210,18,Male,Computer Science,100.0,52.9,79.8,64.1,8.1,2.06,3.0,Yes,No,Not At Risk
ST08907,21,Female,Software Engineering,91.9,72.2,61.6,64.1,7.9,3.99,4.0,Yes,Yes,Not At Risk
ST02679,20,Male,Software Engineering,93.7,99.7,54.2,54.7,8.0,3.43,6.0,Yes,Yes,Not At Risk
ST09787,21,Female,IT,86.4,67.4,64.1,92.1,4.0,2.16,3.0,Yes,Yes,Not At Risk
ST02493,24,Male,Data Science,80.9,63.7,67.2,72.7,7.0,2.77,3.0,No,No,Not At Risk
ST05669,19,Female,Computer Science,87.5,69.0,78.5,40.9,3.7,4.0,3.0,Yes,No,Not At Risk
ST07943,25,Female,Computer Science,79.8,80.3,75.9,61.6,4.1,2.9,0.0,No,No,Not At Risk
ST10375,25,Female,Computer Science,81.0,50.5,67.6,64.0,4.6,1.92,5.0,Yes,No,Not At Risk
ST02042,25,Male,Computer Science,59.3,62.0,64.0,59.1,3.2,2.86,4.0,Yes,Yes,Not At Risk
ST09580,22,Male,Computer Science,77.2,79.1,71.3,82.9,9.6,2.64,4.0,Yes,No,Not At Risk
ST00878,21,Male,Computer Science,61.6,48.7,63.1,20.7,7.6,1.85,3.0,Yes,No,Not At Risk
ST08879,20,Male,Software Engineering,92.5,55.9,45.9,62.4,2.4,2.63,6.0,Yes,Yes,Not At Risk
ST01590,22,Female,IT,77.5,42.0,57.9,66.9,1.0,4.0,3.0,Yes,Yes,Not At Risk
ST08368,18,Male,IT,90.6,71.5,55.1,74.1,6.1,3.17,1.0,Yes,No,Not At Risk
ST08735,22,Female,Data Science,94.7,82.4,56.0,57.4,7.3,3.79,3.0,Yes,Yes,Not At Risk
ST06218,22,Female,IT,89.2,69.6,57.6,57.6,2.4,3.01,8.0,Yes,No,Not At Risk
ST11117,20,Female,Computer Science,98.5,72.5,54.2,100.0,6.8,2.83,,No,Yes,Not At Risk
ST06610,19,Female,Data Science,81.4,86.8,78.0,57.2,3.7,1.98,4.0,Yes,No,Not At Risk
ST05695,24,Female,IT,95.2,56.1,100.0,61.7,8.5,1.78,4.0,Yes,Yes,Not At Risk
ST09802,25,Male,Computer Science,90.9,70.4,100.0,86.1,3.1,3.5,1.0,Yes,Yes,Not At Risk
ST01872,22,Male,Computer Science,65.0,67.0,98.9,35.8,9.2,2.19,3.0,Yes,No,At Risk
ST03318,22,Male,Computer Science,65.2,65.2,92.2,57.0,3.7,3.85,3.0,Yes,Yes,At Risk
ST11101,19,Male,Data Science,88.6,61.4,16.9,54.3,7.8,3.45,1.0,Yes,Yes,Not At Risk
ST00292,21,Male,Computer Science,96.7,77.2,63.4,58.5,6.8,2.77,9.0,Yes,No,Not At Risk
ST10584,21,Female,Data Science,77.5,90.8,30.6,57.7,6.9,1.63,8.0,Yes,Yes,Not At Risk
ST06974,23,Male,IT,91.0,80.7,78.8,29.9,5.6,3.38,6.0,Yes,No,Not At Risk
ST01911,23,Female,Software Engineering,100.0,60.5,55.0,66.4,7.3,2.64,5.0,Yes,No,Not At Risk
ST10531,24,Female,IT,100.0,76.0,56.7,43.0,7.9,2.61,2.0,Yes,Yes,Not At Risk
ST10869,19,Female,IT,88.0,54.9,50.5,95.0,9.8,2.74,4.0,Yes,Yes,Not At Risk
ST08020,24,Male,Computer Science,92.8,68.6,54.6,69.6,2.2,2.58,4.0,Yes,Yes,Not At Risk
ST08886,20,Male,Software Engineering,75.0,81.4,98.3,48.3,7.1,3.83,3.0,Yes,Yes,Not At Risk
ST11149,18,Male,Computer Science,90.2,82.6,48.4,74.4,16.2,3.61,3.0,Yes,No,Not At Risk
ST08904,22,Female,Software Engineering,72.1,53.1,52.4,53.2,3.4,2.11,5.0,Yes,No,Not At Risk
ST11718,18,Female,Data Science,83.3,85.3,51.7,,3.9,2.69,0.0,Yes,No,Not At Risk
ST00208,19,Male,Software Engineering,100.0,84.9,74.8,37.4,6.3,3.91,5.0,No,Yes,Not At Risk
ST08282,18,Male,Computer Science,93.1,74.5,83.5,74.1,5.1,2.27,6.0,Yes,Yes,Not At Risk
ST10237,22,Male,Data Science,76.7,64.7,64.2,80.9,2.2,2.69,4.0,Yes,Yes,Not At Risk
ST03212,24,Male,IT,96.7,68.8,75.1,65.5,6.1,2.27,2.0,,Yes,Not At Risk
ST03558,23,Male,IT,92.1,74.2,51.8,75.6,7.5,3.19,3.0,Yes,No,Not At Risk
ST10521,24,Female,IT,98.7,86.0,39.3,43.9,10.0,2.58,5.0,Yes,Yes,Not At Risk
ST00877,19,Male,Software Engineering,85.4,75.9,53.8,34.4,22.5,2.57,7.0,No,No,Not At Risk
ST10008,20,Female,Software Engineering,68.3,71.4,51.5,58.1,11.0,2.41,4.0,Yes,No,Not At Risk
ST07055,22,Male,IT,82.9,62.8,72.7,52.0,3.7,2.3,1.0,Yes,Yes,Not At Risk
ST10651,25,Female,IT,61.8,81.5,67.6,87.4,7.6,2.76,3.0,Yes,Yes,Not At Risk
ST05177,22,Female,Computer Science,78.2,39.1,34.9,89.8,6.3,2.83,5.0,No,No,Not At Risk
ST05493,21,Female,IT,66.2,96.7,75.9,60.7,4.1,3.15,3.0,Yes,Yes,Not At Risk
ST05585,23,Male,Computer Science,92.7,63.9,60.8,65.5,7.5,3.47,4.0,Yes,Yes,Not At Risk
ST01127,25,Male,Computer Science,72.7,77.7,52.1,86.9,9.0,4.0,4.0,Yes,Yes,Not At Risk
ST11223,19,Male,IT,79.9,57.4,75.6,36.4,7.1,2.23,7.0,Yes,Yes,At Risk
ST10391,20,Female,Software Engineering,100.0,55.1,63.8,59.2,3.0,2.31,2.0,Yes,Yes,At Risk
ST11246,19,Male,IT,86.0,56.7,74.5,29.2,2.6,3.34,2.0,Yes,No,Not At Risk
ST02596,25,Female,Computer Science,59.5,69.4,91.9,90.4,6.4,2.8,6.0,Yes,No,Not At Risk
ST06831,24,Male,IT,81.9,82.7,88.5,45.0,8.5,2.94,5.0,Yes,No,Not At Risk
ST02317,19,Female,Computer Science,74.8,60.1,41.2,91.6,4.3,2.29,2.0,Yes,Yes,At Risk
ST02243,22,Female,Computer Science,78.7,79.6,31.9,67.5,5.8,3.32,6.0,Yes,No,Not At Risk
ST03817,18,Male,Software Engineering,84.7,62.0,81.0,89.9,2.9,3.23,4.0,Yes,No,Not At Risk
ST07951,22,Female,Software Engineering,84.0,63.5,57.9,47.6,11.1,2.84,4.0,Yes,Yes,Not At Risk
ST01128,19,Female,Software Engineering,90.1,92.4,61.3,62.8,2.2,3.64,3.0,Yes,Yes,Not At Risk
ST08805,23,Male,Computer Science,87.3,43.7,64.8,48.3,1.9,3.92,3.0,Yes,Yes,At Risk
ST08072,23,Male,Software Engineering,69.3,70.7,69.2,74.8,7.1,2.77,3.0,Yes,Yes,Not At Risk
ST03389,25,Female,Computer Science,87.9,86.9,59.3,68.1,6.6,3.3,1.0,No,Yes,Not At Risk
ST00949,24,Female,IT,81.7,66.3,50.7,48.7,7.2,4.0,5.0,Yes,Yes,Not At Risk
ST04783,25,Male,Computer Science,99.7,69.4,58.5,81.0,4.1,3.12,3.0,Yes,No,Not At Risk
ST00963,21,Male,IT,71.9,66.7,65.5,12.1,10.4,2.68,0.0,Yes,No,Not At Risk
ST05659,22,Female,Data Science,74.5,63.8,68.0,76.4,6.2,3.17,4.0,Yes,Yes,Not At Risk
ST00999,18,Female,Computer Science,92.8,58.4,70.7,67.4,2.6,2.77,4.0,Yes,No,Not At Risk
ST05342,23,Male,IT,69.2,52.8,84.7,61.9,4.2,2.35,5.0,Yes,Yes,At Risk
ST11660,25,Female,IT,82.9,59.6,73.4,82.7,6.1,3.22,2.0,Yes,Yes,Not At Risk
ST07206,23,Female,IT,84.6,48.9,76.4,68.3,15.7,1.53,4.0,Yes,Yes,At Risk
ST10961,25,Female,Computer Science,73.7,48.7,45.4,55.5,10.8,2.4,5.0,Yes,No,At Risk
ST05599,19,Male,Software Engineering,100.0,68.0,46.5,45.8,6.4,2.68,2.0,Yes,No,Not At Risk
ST08642,19,Female,IT,93.5,39.4,44.7,71.1,5.2,2.03,0.0,Yes,Yes,Not At Risk
ST00389,24,Male,Software Engineering,64.1,55.3,82.3,71.4,3.4,2.43,3.0,Yes,No,At Risk
ST04743,19,Male,IT,88.8,83.8,50.7,80.7,5.0,1.92,1.0,Yes,No,Not At Risk
ST09993,21,Male,Computer Science,89.6,58.2,45.2,67.1,2.2,2.55,3.0,Yes,Yes,Not At Risk
ST03696,18,Female,IT,72.0,78.0,53.8,69.8,3.9,3.09,5.0,Yes,Yes,Not At Risk
ST02781,24,Female,IT,76.4,67.9,94.2,64.2,7.2,1.95,3.0,Yes,Yes,Not At Risk
ST09914,25,Male,Data Science,65.1,62.7,85.3,34.6,7.5,1.87,5.0,No,Yes,At Risk
ST11029,21,Female,Software Engineering,97.2,69.1,47.9,71.9,3.9,3.32,2.0,Yes,No,Not At Risk
ST02117,22,Male,Computer Science,91.5,83.0,100.0,15.9,5.7,2.63,2.0,Yes,Yes,Not At Risk
ST10878,19,Female,Computer Science,78.2,84.4,73.8,67.1,1.6,1.94,4.0,Yes,Yes,Not At Risk
ST05903,24,Male,Software Engineering,78.5,72.3,84.6,73.0,3.1,3.39,2.0,Yes,No,Not At Risk
ST06269,20,Female,Computer Science,94.4,41.6,93.4,53.3,5.5,2.68,3.0,Yes,Yes,Not At Risk
ST06670,24,Male,IT,83.4,57.7,80.7,46.2,10.8,3.55,2.0,Yes,Yes,Not At Risk
ST02419,24,Male,Software Engineering,70.6,65.7,49.5,100.0,1.7,3.4,5.0,Yes,No,Not At Risk
ST08935,25,Female,Computer Science,71.4,89.3,66.6,52.1,8.0,3.79,3.0,Yes,Yes,Not At Risk
ST02671,24,Male,Computer Science,83.3,61.0,53.6,36.8,3.7,2.97,4.0,Yes,No,Not At Risk
ST07546,23,Female,Data Science,92.7,100.0,68.5,63.0,6.9,3.64,4.0,Yes,Yes,Not At Risk
ST03955,25,Female,IT,95.8,73.5,69.1,74.7,5.7,3.97,4.0,Yes,No,Not At Risk
ST00669,20,Male,Computer Science,100.0,49.2,69.5,41.1,3.2,3.23,1.0,Yes,Yes,Not At Risk
ST02241,25,Female,Data Science,60.3,76.9,59.4,95.1,4.9,3.08,5.0,Yes,Yes,Not At Risk
ST00698,20,Female,Computer Science,77.0,72.9,57.4,46.2,2.8,3.74,2.0,Yes,Yes,Not At Risk
ST01121,24,Female,Software Engineering,82.8,37.1,55.5,50.5,2.3,2.18,6.0,Yes,No,At Risk
ST07132,23,Female,Data Science,93.9,68.3,63.6,65.8,5.7,3.61,2.0,Yes,No,Not At Risk
ST00606,22,Female,IT,69.2,48.3,63.6,79.5,7.5,3.42,2.0,Yes,Yes,Not At Risk
ST11987,20,Female,Software Engineering,100.0,41.1,63.4,66.6,8.0,2.05,3.0,No,No,Not At Risk
ST11995,18,Female,IT,88.9,41.7,61.4,51.0,7.7,3.2,6.0,Yes,No,Not At Risk
ST09579,21,Female,Computer Science,77.4,76.1,54.9,55.1,4.2,2.88,3.0,Yes,Yes,Not At Risk
ST07990,23,Male,IT,70.4,100.0,50.1,100.0,4.2,1.67,7.0,Yes,No,Not At Risk
ST08018,21,Male,Computer Science,64.3,66.3,80.7,93.5,5.6,2.97,1.0,Yes,Yes,Not At Risk
ST05187,19,Female,IT,76.7,49.3,54.6,73.1,3.3,3.39,2.0,Yes,No,Not At Risk
ST00600,23,Female,Software Engineering,51.7,79.7,78.1,79.5,3.9,2.99,6.0,Yes,No,Not At Risk
ST04685,23,Female,IT,79.2,87.7,49.0,55.8,4.1,2.11,3.0,Yes,Yes,Not At Risk
ST02951,22,Female,Computer Science,75.9,56.4,75.6,83.7,5.9,4.0,3.0,Yes,No,Not At Risk
ST10522,24,Female,Computer Science,70.1,80.3,47.2,69.0,3.6,2.71,2.0,Yes,No,At Risk
ST09037,24,Female,Computer Science,94.3,81.0,65.3,81.8,4.4,3.86,4.0,Yes,No,Not At Risk
ST07672,23,Male,Software Engineering,95.8,44.2,80.0,63.6,6.1,2.66,4.0,Yes,Yes,Not At Risk
ST02691,25,Male,Data Science,68.7,61.1,45.8,61.5,6.9,2.92,4.0,Yes,Yes,Not At Risk
ST00974,18,Female,IT,100.0,90.9,74.3,72.9,4.0,2.61,8.0,Yes,No,Not At Risk
ST06445,23,Female,Computer Science,82.9,78.0,66.7,86.0,13.7,2.52,4.0,Yes,Yes,Not At Risk
ST04275,22,Male,Computer Science,90.8,78.2,36.1,52.5,2.0,2.66,4.0,Yes,No,Not At Risk
ST00616,18,Female,Data Science,92.2,67.7,47.8,68.9,15.2,2.64,4.0,Yes,No,Not At Risk
ST02922,24,Male,Software Engineering,83.6,41.4,59.7,54.3,10.6,4.0,5.0,,Yes,Not At Risk
ST00657,20,Female,Data Science,100.0,54.5,66.5,81.6,4.7,3.32,4.0,Yes,No,Not At Risk
ST02606,24,Male,Computer Science,75.5,59.5,77.5,42.7,3.2,2.85,5.0,Yes,No,Not At Risk
ST08309,22,Male,IT,75.2,69.3,84.7,61.8,10.0,4.0,6.0,Yes,No,Not At Risk
ST11441,23,Male,IT,100.0,69.8,77.8,82.6,6.7,1.08,2.0,Yes,Yes,Not At Risk
ST07533,19,Male,Data Science,91.0,73.8,84.3,81.5,4.6,2.13,2.0,Yes,Yes,Not At Risk
ST06952,19,Male,IT,85.6,59.6,51.3,50.1,4.8,1.7,4.0,,Yes,Not At Risk
ST02464,22,Female,Computer Science,87.6,100.0,78.3,77.7,6.9,4.0,9.0,No,Yes,Not At Risk
ST10693,18,Female,Software Engineering,87.3,96.1,82.2,53.1,6.9,2.93,9.0,Yes,No,Not At Risk
ST04619,22,Male,IT,78.6,89.2,76.8,69.0,1.4,1.97,6.0,Yes,Yes,At Risk
ST03899,21,Female,IT,96.0,68.6,69.2,58.3,13.8,3.34,6.0,Yes,No,At Risk
ST04595,18,Male,Data Science,66.5,62.3,90.9,51.1,10.4,2.5,8.0,Yes,No,Not At Risk
ST05650,21,Female,Computer Science,72.4,52.4,73.1,37.0,3.1,3.16,8.0,Yes,No,At Risk
ST11879,19,Male,Computer Science,64.4,59.6,65.8,58.9,2.0,3.33,6.0,Yes,Yes,Not At Risk
ST07344,20,Male,IT,81.4,71.2,73.5,72.8,4.0,1.39,4.0,Yes,No,Not At Risk
ST08866,20,Male,Data Science,96.3,62.8,75.0,7.6,2.1,3.29,5.0,Yes,No,Not At Risk
ST03889,23,Male,Computer Science,100.0,65.7,54.6,97.7,3.7,2.45,2.0,Yes,Yes,Not At Risk
ST06515,19,Male,Computer Science,100.0,78.0,70.3,84.4,2.7,2.17,3.0,Yes,Yes,Not At Risk
ST10541,18,Female,Software Engineering,80.6,88.7,62.9,65.8,3.6,2.65,6.0,Yes,No,Not At Risk
ST08465,24,Female,Software Engineering,93.1,87.3,78.6,94.6,7.0,2.12,5.0,Yes,No,Not At Risk
ST06889,23,Female,Computer Science,90.1,52.0,51.2,58.9,4.5,1.87,4.0,Yes,No,Not At Risk
ST00957,25,Female,IT,100.0,71.6,80.7,62.7,7.0,2.55,4.0,Yes,Yes,Not At Risk
ST03091,21,Male,Software Engineering,54.0,62.9,42.2,44.7,6.2,3.25,4.0,Yes,No,At Risk
ST04897,24,Male,Computer Science,88.5,58.2,70.4,66.5,7.1,1.96,4.0,Yes,Yes,Not At Risk
ST07719,24,Male,Computer Science,88.8,69.5,56.7,47.1,2.8,2.45,4.0,Yes,Yes,At Risk
ST04811,18,Female,Software Engineering,78.9,95.0,53.0,51.4,2.0,2.43,4.0,Yes,No,Not At Risk
ST05468,20,Male,Data Science,66.1,64.9,68.1,78.0,3.1,3.03,2.0,Yes,Yes,At Risk
ST07294,18,Male,Computer Science,74.1,78.0,71.6,70.8,11.7,3.39,4.0,Yes,No,Not At Risk
ST05214,25,Female,Computer Science,75.0,36.2,71.4,85.5,8.4,3.55,9.0,Yes,Yes,Not At Risk
ST11025,23,Female,Computer Science,70.1,95.9,70.4,50.2,2.4,2.88,6.0,Yes,No,Not At Risk
ST01613,18,Female,Data Science,90.4,61.2,59.6,,2.4,2.77,2.0,Yes,No,Not At Risk
ST10105,22,Female,Software Engineering,91.7,87.5,64.1,76.5,7.2,4.0,1.0,Yes,No,Not At Risk
ST03112,22,Male,Computer Science,100.0,68.4,42.7,71.6,7.9,3.22,6.0,Yes,No,Not At Risk
ST00784,25,Female,IT,87.7,86.8,88.2,42.5,4.1,2.75,5.0,Yes,No,Not At Risk
ST00597,20,Female,Data Science,71.7,58.5,58.7,60.1,13.3,2.67,6.0,Yes,No,At Risk
ST11053,18,Male,IT,72.8,46.9,62.8,26.1,10.6,3.88,6.0,Yes,No,At Risk
ST08561,21,Male,Computer Science,75.8,56.3,47.7,88.1,13.0,2.21,3.0,Yes,No,Not At Risk
ST01754,24,Male,IT,89.0,50.5,79.4,44.7,1.9,1.99,4.0,Yes,No,Not At Risk
ST01903,21,Female,IT,94.1,71.9,48.4,49.0,5.1,2.42,4.0,Yes,Yes,Not At Risk
ST02845,19,Male,Data Science,85.8,87.4,77.8,45.5,10.0,3.0,2.0,Yes,No,Not At Risk
ST00112,23,Male,IT,81.2,75.9,61.6,43.4,5.7,3.66,2.0,Yes,No,At Risk
ST00056,18,Male,Computer Science,79.7,14.9,64.4,61.8,2.1,4.0,1.0,Yes,No,At Risk
ST11017,25,Female,Software Engineering,98.9,70.0,27.2,46.5,5.5,1.72,7.0,Yes,No,Not At Risk
ST04460,19,Male,Computer Science,71.3,60.6,67.1,92.2,8.4,1.81,3.0,Yes,No,Not At Risk
ST10021,25,Male,IT,82.0,75.3,64.8,47.8,3.2,3.45,3.0,Yes,No,Not At Risk
